	a_allo	a_aust	a_best	a_cave	a_cavi	a_ench	a_fluv	a_pisc	a_popo	a_rivi	a_salm	a_schu	e_coli
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	88.3	90.0	89.7	80.5	89.0	90.3	87.8	80.8	83.9	90.6	86.5	87.7	50.4
'2	6.4	5.5	6.4	9.0	6.2	5.7	6.2	8.5	5.9	5.2	6.5	5.8	15.2
'3	1.7	1.2	1.1	1.6	1.1	1.4	1.5	3.6	1.7	1.4	1.3	1.8	5.0
'4	0.5	0.3	0.4	0.8	0.4	0.2	0.6	1.0	1.0	0.5	0.4	0.4	2.6
'5	0.2	0.0	0.2	0.1	0.2	0.0	0.3	0.4	1.7	0.0	0.0	0.0	0.7
'6	0.0	0.0	0.0	0.5	0.1	0.0	0.0	0.4	0.3	0.0	0.3	0.0	1.0
'7	0.0	0.0	0.0	0.2	0.2	0.2	0.0	0.0	0.2	0.0	0.0	0.0	0.5
'8	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.3	0.4	0.0	0.0	0.0	0.7
'9	0.2	0.0	0.0	0.0	0.2	0.0	0.0	0.2	0.0	0.2	0.0	0.2	0.2
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
11-15	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	1.1
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
