Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	13	7
OG0000001	11	8
OG0000002	15	11
OG0000003	2	2
OG0000004	4	3
OG0000005	3	3
OG0000006	5	4
OG0000007	5	3
OG0000008	4	2
OG0000009	4	3
OG0000010	8	3
OG0000011	7	5
OG0000012	7	3
OG0000013	5	2
OG0000014	12	6
OG0000015	16	11
OG0000016	4	3
OG0000017	15	13
OG0000018	3	1
OG0000019	3	1
OG0000020	2	1
OG0000021	4	2
OG0000022	5	4
OG0000023	4	3
OG0000024	5	5
OG0000025	2	1
OG0000026	3	3
OG0000027	2	2
OG0000028	9	6
OG0000029	1	1
OG0000030	1	1
OG0000031	3	1
OG0000032	2	2
OG0000033	1	1
OG0000034	1	1
OG0000035	3	1
OG0000036	12	10
OG0000037	1	1
OG0000038	2	1
OG0000039	2	1
OG0000040	6	0
OG0000041	1	1
OG0000042	1	1
OG0000043	2	2
OG0000044	2	2
OG0000045	1	1
OG0000046	1	1
OG0000047	7	4
OG0000048	9	4
OG0000049	5	2
OG0000050	3	1
OG0000051	7	4
OG0000052	1	1
OG0000053	2	2
OG0000054	5	4
OG0000055	2	1
OG0000056	5	2
OG0000057	3	0
OG0000058	4	0
OG0000059	2	2
OG0000060	1	1
OG0000061	12	10
OG0000062	8	8
OG0000063	1	1
OG0000064	2	0
OG0000065	2	1
OG0000066	1	1
OG0000067	2	2
OG0000068	2	2
OG0000069	10	4
OG0000070	11	7
OG0000071	6	4
OG0000072	4	1
OG0000073	3	3
OG0000074	3	1
OG0000075	2	0
OG0000076	3	2
OG0000077	4	3
OG0000078	1	1
OG0000079	2	1
OG0000080	1	1
OG0000081	2	0
OG0000082	2	1
OG0000083	3	2
OG0000084	1	0
OG0000085	1	1
OG0000086	1	0
OG0000087	1	0
OG0000088	2	1
OG0000089	4	1
OG0000090	1	1
OG0000091	2	0
OG0000092	1	0
OG0000093	2	0
OG0000094	3	2
OG0000095	1	0
OG0000096	2	1
OG0000097	1	1
OG0000098	1	1
OG0000099	3	2
OG0000100	4	4
OG0000101	2	1
OG0000102	2	0
OG0000103	4	4
OG0000104	2	0
OG0000105	1	0
OG0000106	1	1
OG0000107	1	0
OG0000108	2	1
OG0000109	2	1
OG0000110	2	1
OG0000111	2	0
OG0000112	1	0
OG0000113	2	2
OG0000114	2	1
OG0000115	8	5
OG0000116	3	1
OG0000117	7	6
OG0000118	3	3
OG0000119	5	5
OG0000120	2	0
OG0000121	1	0
OG0000122	1	0
OG0000123	3	2
OG0000124	3	3
OG0000125	3	3
OG0000126	1	0
OG0000127	2	1
OG0000128	2	1
OG0000129	2	1
OG0000130	5	1
OG0000131	1	0
OG0000132	1	0
OG0000133	1	0
OG0000134	1	0
OG0000135	1	0
OG0000136	3	3
OG0000137	3	3
OG0000138	6	5
OG0000139	2	1
OG0000140	1	0
OG0000141	1	0
OG0000142	1	1
OG0000143	1	0
OG0000144	2	0
OG0000145	4	4
OG0000146	2	1
OG0000147	3	2
OG0000148	1	0
OG0000149	2	0
OG0000150	1	0
OG0000151	2	1
OG0000152	3	3
OG0000153	2	1
OG0000154	3	1
OG0000155	2	1
OG0000156	2	0
OG0000157	3	2
OG0000158	7	4
OG0000159	5	2
OG0000160	2	2
OG0000161	2	2
OG0000162	2	0
OG0000163	1	0
OG0000164	1	0
OG0000165	1	0
OG0000166	1	0
OG0000167	2	2
OG0000168	1	0
OG0000169	2	2
OG0000170	2	2
OG0000171	1	0
OG0000172	1	0
OG0000173	2	2
OG0000174	1	0
OG0000175	2	1
OG0000176	2	2
OG0000177	1	0
OG0000178	1	1
OG0000179	2	1
OG0000180	4	3
OG0000181	2	1
OG0000182	2	2
OG0000183	1	0
OG0000184	1	0
OG0000185	2	2
OG0000186	2	2
OG0000187	2	2
OG0000188	2	0
OG0000189	1	0
OG0000190	1	0
OG0000191	1	0
OG0000192	1	0
OG0000193	2	0
OG0000194	1	0
OG0000195	2	2
OG0000196	1	0
OG0000197	1	0
OG0000198	1	0
OG0000199	2	2
OG0000200	2	1
OG0000201	1	0
OG0000202	1	0
OG0000203	2	2
OG0000204	1	0
OG0000205	2	2
OG0000206	2	2
OG0000207	3	3
OG0000208	1	0
OG0000209	2	1
OG0000210	3	0
OG0000211	1	0
OG0000212	3	1
OG0000213	7	5
OG0000214	1	0
OG0000215	1	1
OG0000216	1	1
OG0000217	1	0
OG0000218	1	1
OG0000219	1	0
OG0000220	1	1
OG0000221	1	0
OG0000222	1	0
OG0000223	1	1
OG0000224	1	1
OG0000225	1	0
OG0000226	1	1
OG0000227	1	1
OG0000228	1	0
OG0000229	1	0
OG0000230	1	1
OG0000231	1	0
OG0000232	1	1
OG0000233	1	1
OG0000234	1	1
OG0000235	1	0
OG0000236	1	0
OG0000237	2	1
OG0000238	2	2
OG0000239	1	0
OG0000240	1	0
OG0000241	1	1
OG0000242	1	0
OG0000243	1	1
OG0000244	1	1
OG0000245	1	0
OG0000246	1	1
OG0000247	1	0
OG0000248	1	1
OG0000249	1	1
OG0000250	1	1
OG0000251	1	1
OG0000252	1	0
OG0000253	1	1
OG0000254	1	1
OG0000255	1	1
OG0000256	3	0
OG0000257	1	1
OG0000258	1	0
OG0000259	1	1
OG0000260	1	1
OG0000261	1	0
OG0000262	1	0
OG0000263	1	1
OG0000264	1	1
OG0000265	1	0
OG0000266	1	0
OG0000267	2	2
OG0000268	1	1
OG0000269	1	1
OG0000270	1	1
OG0000271	1	1
OG0000272	1	0
OG0000273	1	0
OG0000274	1	0
OG0000275	1	1
OG0000276	1	1
OG0000277	1	0
OG0000278	1	0
OG0000279	1	1
OG0000280	1	0
OG0000281	1	1
OG0000282	1	0
OG0000283	1	0
OG0000284	1	0
OG0000285	1	1
OG0000286	5	2
OG0000287	1	1
OG0000288	1	1
OG0000289	1	0
OG0000290	1	0
OG0000291	1	0
OG0000292	1	1
OG0000293	1	1
OG0000294	1	1
OG0000295	1	1
OG0000296	1	0
OG0000297	1	0
OG0000298	1	0
OG0000299	1	0
OG0000300	1	0
OG0000301	1	0
OG0000302	1	0
OG0000303	1	0
OG0000304	1	1
OG0000305	1	1
OG0000306	1	0
OG0000307	1	0
OG0000308	1	0
OG0000309	1	0
OG0000310	1	1
OG0000311	1	1
OG0000312	1	0
OG0000313	1	1
OG0000314	1	0
OG0000315	1	1
OG0000316	1	0
OG0000317	1	0
OG0000318	1	0
OG0000319	1	0
OG0000320	1	0
OG0000321	1	0
OG0000322	1	1
OG0000323	1	1
OG0000324	1	1
OG0000325	1	1
OG0000326	1	1
OG0000327	1	0
OG0000328	1	1
OG0000329	1	1
OG0000330	1	1
OG0000331	1	1
OG0000332	1	1
OG0000333	1	0
OG0000334	1	0
OG0000335	1	1
OG0000336	1	1
OG0000337	1	0
OG0000338	1	1
OG0000339	1	0
OG0000340	1	1
OG0000341	1	1
OG0000342	1	1
OG0000343	1	0
OG0000344	1	1
OG0000345	1	1
OG0000346	2	2
OG0000347	1	0
OG0000348	1	0
OG0000349	1	0
OG0000350	1	1
OG0000351	1	1
OG0000352	1	1
OG0000353	1	0
OG0000354	1	0
OG0000355	1	1
OG0000356	2	2
OG0000357	1	1
OG0000358	1	1
OG0000359	1	1
OG0000360	3	3
OG0000361	1	1
OG0000362	1	1
OG0000363	1	1
OG0000364	1	0
OG0000365	1	0
OG0000366	1	1
OG0000367	1	1
OG0000368	1	0
OG0000369	1	1
OG0000370	1	1
OG0000371	1	1
OG0000372	1	1
OG0000373	4	1
