Species Tree Node	Duplications (all)	Duplications (50% support)
N0	119	15
e_coli	451	451
a_cavi	43	43
a_rivi	41	41
N3	155	5
N10	4	4
N2	146	13
N5	79	7
a_popo	98	98
a_pisc	125	125
N1	144	43
a_ench	28	28
a_best	27	27
a_allo	30	30
a_aust	21	21
a_fluv	38	38
a_cave	120	120
a_schu	75	75
a_salm	23	23
N8	11	4
N9	16	7
N6	6	6
N7	30	14
N4	16	2
N11	8	8
